ticket_id,text,category,priority,sentiment
T001,My order #45231 has not arrived yet and it has been 2 weeks since I placed it. I am very frustrated with the delay.,delivery,high,negative
T002,I want to return the laptop I bought last week because it does not meet my expectations. Please process a full refund.,refund,medium,neutral
T003,Your customer service is absolutely terrible! I have been waiting for a response for 3 days now. This is unacceptable!,complaint,high,negative
T004,The package arrived damaged and the screen is cracked. I need a replacement or refund immediately.,delivery,high,negative
T005,I was charged twice for the same order. Please refund the duplicate charge of $89.99 as soon as possible.,refund,high,negative
T006,My tracking number shows the package is stuck in transit since last Thursday. Can you please check on this?,delivery,medium,neutral
T007,I received the wrong item. I ordered a blue shirt size L but received a red shirt size M. Please send the correct item.,delivery,medium,neutral
T008,I would like to cancel my subscription and get a refund for the unused months. My account ID is ACC-8821.,refund,medium,neutral
T009,The product quality is very poor. The stitching came apart after just one use. I demand a full refund and an apology.,complaint,high,negative
T010,I have been a loyal customer for 5 years and this experience has been the worst. My order is 10 days late.,complaint,medium,negative
T011,The delivery estimate said 3-5 days but it has been 12 days. Please update me on my order status.,delivery,medium,neutral
T012,I need to return a gift I received. It does not fit and I would like store credit instead of a refund.,refund,low,neutral
T013,Your website keeps crashing when I try to check my order status. This is very frustrating.,complaint,medium,negative
T014,The item I received looks used and not new as advertised. I want a full refund immediately.,complaint,high,negative
T015,Can you tell me when my order will arrive? I placed it 5 days ago and have not received any updates.,delivery,low,neutral
T016,I accidentally ordered the wrong size. Can I exchange it for a larger one without paying extra shipping?,refund,low,neutral
T017,My delivery was marked as delivered but I never received it. My neighbors did not receive it either.,delivery,high,negative
T018,The customer support agent was rude to me on the phone. I want to speak to a manager immediately.,complaint,high,negative
T019,I bought a defective blender that stopped working after 2 days. I want a replacement or my money back.,refund,high,negative
T020,Your shipping times are consistently late. This is the third time my order has been delayed.,complaint,medium,negative
T021,I ordered express shipping but my package arrived via standard shipping. Please refund the difference.,refund,medium,neutral
T022,The product description was misleading. What I received looks nothing like the pictures shown online.,complaint,medium,negative
T023,My package was left outside in the rain and everything is ruined. I need a full replacement.,delivery,high,negative
T024,I have been waiting 3 weeks for my refund to be processed. This is taking too long.,refund,high,negative
T025,I love your products but the delivery service you use is absolutely terrible. Please consider switching.,delivery,low,neutral
T026,I need to return a Christmas gift but your return policy says only 30 days. Can you make an exception?,refund,medium,neutral
T027,My account was charged for a product I never ordered. Please investigate and refund immediately.,complaint,high,negative
T028,The delivery driver left my package at the wrong address. Please help me recover it.,delivery,high,negative
T029,I received a broken item but the packaging was intact. Was it damaged before shipping?,complaint,medium,neutral
T030,Can I get a partial refund? I am happy with the product but disappointed with the long shipping time.,refund,low,neutral
